financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2018/19,East Ayrshire,85+ years,All Stays,Number of People,490,25085
2018/19,East Ayrshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.7,28.4
2018/19,East Ayrshire,85+ years,Short Stay / Respite,Number of People,25,3505
2018/19,East Ayrshire,85+ years,Long Stay,"Rate per 1,000 People",183.8,186.7
2018/19,East Ayrshire,85+ years,Long Stay,Number of People,475,23030
2018/19,East Dunbartonshire,All Ages,All Stays,"Rate per 1,000 People",12,9.5
2018/19,East Dunbartonshire,All Ages,All Stays,Number of People,1300,51745
2018/19,East Dunbartonshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.7,1.7
2018/19,East Dunbartonshire,All Ages,Short Stay / Respite,Number of People,290,9090
2018/19,East Dunbartonshire,All Ages,Long Stay,"Rate per 1,000 People",10.2,8.4
2018/19,East Dunbartonshire,All Ages,Long Stay,Number of People,1110,45865
2018/19,East Dunbartonshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,East Dunbartonshire,0-17 years,All Stays,Number of People,0,125
2018/19,East Dunbartonshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,East Dunbartonshire,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,East Dunbartonshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,East Dunbartonshire,0-17 years,Long Stay,Number of People,0,80
2018/19,East Dunbartonshire,18-64 years,All Stays,"Rate per 1,000 People",2.2,1.7
2018/19,East Dunbartonshire,18-64 years,All Stays,Number of People,135,5585
2018/19,East Dunbartonshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1.5,0.5
2018/19,East Dunbartonshire,18-64 years,Short Stay / Respite,Number of People,95,1665
2018/19,East Dunbartonshire,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.3
2018/19,East Dunbartonshire,18-64 years,Long Stay,Number of People,50,4230
2018/19,East Dunbartonshire,65-74 years,All Stays,"Rate per 1,000 People",7.9,9.7
2018/19,East Dunbartonshire,65-74 years,All Stays,Number of People,100,5520
2018/19,East Dunbartonshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2,1.8
2018/19,East Dunbartonshire,65-74 years,Short Stay / Respite,Number of People,25,1025
2018/19,East Dunbartonshire,65-74 years,Long Stay,"Rate per 1,000 People",6.7,8.5
2018/19,East Dunbartonshire,65-74 years,Long Stay,Number of People,85,4830
2018/19,East Dunbartonshire,75-84 years,All Stays,"Rate per 1,000 People",43.9,46.5
2018/19,East Dunbartonshire,75-84 years,All Stays,Number of People,360,15415
2018/19,East Dunbartonshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",9.7,8.6
2018/19,East Dunbartonshire,75-84 years,Short Stay / Respite,Number of People,80,2840
2018/19,East Dunbartonshire,75-84 years,Long Stay,"Rate per 1,000 People",39.6,41.3
2018/19,East Dunbartonshire,75-84 years,Long Stay,Number of People,325,13690
2018/19,East Dunbartonshire,85+ years,All Stays,"Rate per 1,000 People",220.1,203.3
2018/19,East Dunbartonshire,85+ years,All Stays,Number of People,705,25085
2018/19,East Dunbartonshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",29.7,28.4
2018/19,East Dunbartonshire,85+ years,Short Stay / Respite,Number of People,95,3505
2018/19,East Dunbartonshire,85+ years,Long Stay,"Rate per 1,000 People",202.9,186.7
2018/19,East Dunbartonshire,85+ years,Long Stay,Number of People,650,23030
2018/19,East Lothian,All Ages,All Stays,"Rate per 1,000 People",9.8,9.5
2018/19,East Lothian,All Ages,All Stays,Number of People,1035,51745
2018/19,East Lothian,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.7,1.7
2018/19,East Lothian,All Ages,Short Stay / Respite,Number of People,180,9090
2018/19,East Lothian,All Ages,Long Stay,"Rate per 1,000 People",8.6,8.4
2018/19,East Lothian,All Ages,Long Stay,Number of People,905,45865
2018/19,East Lothian,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,East Lothian,0-17 years,All Stays,Number of People,0,125
2018/19,East Lothian,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,East Lothian,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,East Lothian,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,East Lothian,0-17 years,Long Stay,Number of People,0,80
2018/19,East Lothian,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.7
2018/19,East Lothian,18-64 years,All Stays,Number of People,75,5585
2018/19,East Lothian,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3,0.5
2018/19,East Lothian,18-64 years,Short Stay / Respite,Number of People,20,1665
2018/19,East Lothian,18-64 years,Long Stay,"Rate per 1,000 People",1,1.3
2018/19,East Lothian,18-64 years,Long Stay,Number of People,60,4230
2018/19,East Lothian,65-74 years,All Stays,"Rate per 1,000 People",8.1,9.7
2018/19,East Lothian,65-74 years,All Stays,Number of People,95,5520
2018/19,East Lothian,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.7,1.8
2018/19,East Lothian,65-74 years,Short Stay / Respite,Number of People,20,1025
2018/19,East Lothian,65-74 years,Long Stay,"Rate per 1,000 People",6.8,8.5
2018/19,East Lothian,65-74 years,Long Stay,Number of People,80,4830
2018/19,East Lothian,75-84 years,All Stays,"Rate per 1,000 People",44.9,46.5
2018/19,East Lothian,75-84 years,All Stays,Number of People,310,15415
2018/19,East Lothian,75-84 years,Short Stay / Respite,"Rate per 1,000 People",9.4,8.6
2018/19,East Lothian,75-84 years,Short Stay / Respite,Number of People,65,2840
2018/19,East Lothian,75-84 years,Long Stay,"Rate per 1,000 People",38.4,41.3
2018/19,East Lothian,75-84 years,Long Stay,Number of People,265,13690
2018/19,East Lothian,85+ years,All Stays,"Rate per 1,000 People",218.6,203.3
2018/19,East Lothian,85+ years,All Stays,Number of People,555,25085
2018/19,East Lothian,85+ years,Short Stay / Respite,"Rate per 1,000 People",29.5,28.4
2018/19,East Lothian,85+ years,Short Stay / Respite,Number of People,75,3505
2018/19,East Lothian,85+ years,Long Stay,"Rate per 1,000 People",196.9,186.7
2018/19,East Lothian,85+ years,Long Stay,Number of People,500,23030
2018/19,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",8.8,9.5
2018/19,East Renfrewshire,All Ages,All Stays,Number of People,840,51745
2018/19,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.5,1.7
2018/19,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,50,9090
2018/19,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",8.6,8.4
2018/19,East Renfrewshire,All Ages,Long Stay,Number of People,820,45865
2018/19,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,East Renfrewshire,0-17 years,All Stays,Number of People,0,125
2018/19,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,East Renfrewshire,0-17 years,Long Stay,Number of People,0,80
2018/19,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.6,1.7
2018/19,East Renfrewshire,18-64 years,All Stays,Number of People,35,5585
2018/19,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2018/19,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,5,1665
2018/19,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.6,1.3
2018/19,East Renfrewshire,18-64 years,Long Stay,Number of People,35,4230
2018/19,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",7.1,9.7
2018/19,East Renfrewshire,65-74 years,All Stays,Number of People,70,5520
2018/19,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5,1.8
2018/19,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,5,1025
2018/19,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",7.1,8.5
2018/19,East Renfrewshire,65-74 years,Long Stay,Number of People,70,4830
2018/19,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",39,46.5
2018/19,East Renfrewshire,75-84 years,All Stays,Number of People,245,15415
2018/19,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2.4,8.6
2018/19,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,15,2840
2018/19,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",38.2,41.3
2018/19,East Renfrewshire,75-84 years,Long Stay,Number of People,240,13690
2018/19,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",179,203.3
2018/19,East Renfrewshire,85+ years,All Stays,Number of People,485,25085
2018/19,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.2,28.4
2018/19,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,25,3505
2018/19,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",175.3,186.7
2018/19,East Renfrewshire,85+ years,Long Stay,Number of People,475,23030
2018/19,Falkirk,All Ages,All Stays,"Rate per 1,000 People",10.2,9.5
2018/19,Falkirk,All Ages,All Stays,Number of People,1635,51745
2018/19,Falkirk,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.1,1.7
2018/19,Falkirk,All Ages,Short Stay / Respite,Number of People,335,9090
2018/19,Falkirk,All Ages,Long Stay,"Rate per 1,000 People",8.6,8.4
2018/19,Falkirk,All Ages,Long Stay,Number of People,1385,45865
2018/19,Falkirk,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Falkirk,0-17 years,All Stays,Number of People,0,125
2018/19,Falkirk,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Falkirk,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Falkirk,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Falkirk,0-17 years,Long Stay,Number of People,0,80
2018/19,Falkirk,18-64 years,All Stays,"Rate per 1,000 People",2.8,1.7
2018/19,Falkirk,18-64 years,All Stays,Number of People,275,5585
2018/19,Falkirk,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1,0.5
2018/19,Falkirk,18-64 years,Short Stay / Respite,Number of People,100,1665
2018/19,Falkirk,18-64 years,Long Stay,"Rate per 1,000 People",1.9,1.3
2018/19,Falkirk,18-64 years,Long Stay,Number of People,185,4230
2018/19,Falkirk,65-74 years,All Stays,"Rate per 1,000 People",11.7,9.7
2018/19,Falkirk,65-74 years,All Stays,Number of People,200,5520
2018/19,Falkirk,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.8,1.8
2018/19,Falkirk,65-74 years,Short Stay / Respite,Number of People,30,1025
2018/19,Falkirk,65-74 years,Long Stay,"Rate per 1,000 People",10.3,8.5
2018/19,Falkirk,65-74 years,Long Stay,Number of People,175,4830
2018/19,Falkirk,75-84 years,All Stays,"Rate per 1,000 People",50.6,46.5
2018/19,Falkirk,75-84 years,All Stays,Number of People,490,15415
2018/19,Falkirk,75-84 years,Short Stay / Respite,"Rate per 1,000 People",10.3,8.6
2018/19,Falkirk,75-84 years,Short Stay / Respite,Number of People,100,2840
2018/19,Falkirk,75-84 years,Long Stay,"Rate per 1,000 People",43.9,41.3
2018/19,Falkirk,75-84 years,Long Stay,Number of People,425,13690
2018/19,Falkirk,85+ years,All Stays,"Rate per 1,000 People",204.6,203.3
2018/19,Falkirk,85+ years,All Stays,Number of People,670,25085
2018/19,Falkirk,85+ years,Short Stay / Respite,"Rate per 1,000 People",30.5,28.4
2018/19,Falkirk,85+ years,Short Stay / Respite,Number of People,100,3505
2018/19,Falkirk,85+ years,Long Stay,"Rate per 1,000 People",183.3,186.7
2018/19,Falkirk,85+ years,Long Stay,Number of People,600,23030
2018/19,Fife,All Ages,All Stays,"Rate per 1,000 People",11.5,9.5
2018/19,Fife,All Ages,All Stays,Number of People,4285,51745
2018/19,Fife,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.5,1.7
2018/19,Fife,All Ages,Short Stay / Respite,Number of People,935,9090
2018/19,Fife,All Ages,Long Stay,"Rate per 1,000 People",9.8,8.4
2018/19,Fife,All Ages,Long Stay,Number of People,3655,45865
2018/19,Fife,0-17 years,All Stays,"Rate per 1,000 People",0.1,0.1
2018/19,Fife,0-17 years,All Stays,Number of People,5,125
2018/19,Fife,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Fife,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Fife,0-17 years,Long Stay,"Rate per 1,000 People",0.1,0.1
2018/19,Fife,0-17 years,Long Stay,Number of People,5,80
2018/19,Fife,18-64 years,All Stays,"Rate per 1,000 People",2,1.7
2018/19,Fife,18-64 years,All Stays,Number of People,445,5585
2018/19,Fife,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1,0.5
2018/19,Fife,18-64 years,Short Stay / Respite,Number of People,225,1665
2018/19,Fife,18-64 years,Long Stay,"Rate per 1,000 People",1,1.3
2018/19,Fife,18-64 years,Long Stay,Number of People,225,4230
2018/19,Fife,65-74 years,All Stays,"Rate per 1,000 People",10.9,9.7
2018/19,Fife,65-74 years,All Stays,Number of People,465,5520
2018/19,Fife,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.2,1.8
2018/19,Fife,65-74 years,Short Stay / Respite,Number of People,95,1025
2018/19,Fife,65-74 years,Long Stay,"Rate per 1,000 People",9.5,8.5
2018/19,Fife,65-74 years,Long Stay,Number of People,405,4830
2018/19,Fife,75-84 years,All Stays,"Rate per 1,000 People",53.9,46.5
2018/19,Fife,75-84 years,All Stays,Number of People,1295,15415
2018/19,Fife,75-84 years,Short Stay / Respite,"Rate per 1,000 People",10.8,8.6
2018/19,Fife,75-84 years,Short Stay / Respite,Number of People,260,2840
2018/19,Fife,75-84 years,Long Stay,"Rate per 1,000 People",47.6,41.3
2018/19,Fife,75-84 years,Long Stay,Number of People,1145,13690
2018/19,Fife,85+ years,All Stays,"Rate per 1,000 People",237.5,203.3
2018/19,Fife,85+ years,All Stays,Number of People,2070,25085
2018/19,Fife,85+ years,Short Stay / Respite,"Rate per 1,000 People",39.6,28.4
2018/19,Fife,85+ years,Short Stay / Respite,Number of People,345,3505
2018/19,Fife,85+ years,Long Stay,"Rate per 1,000 People",214.6,186.7
2018/19,Fife,85+ years,Long Stay,Number of People,1870,23030
2018/19,Fife,Unknown,All Stays,"Rate per 1,000 People",NA,NA
2018/19,Fife,Unknown,All Stays,Number of People,5,20
2018/19,Fife,Unknown,Short Stay / Respite,"Rate per 1,000 People",NA,NA
2018/19,Fife,Unknown,Short Stay / Respite,Number of People,5,5
2018/19,Fife,Unknown,Long Stay,"Rate per 1,000 People",0,NA
2018/19,Fife,Unknown,Long Stay,Number of People,0,15
2018/19,Glasgow City,All Ages,All Stays,"Rate per 1,000 People",8.7,9.5
2018/19,Glasgow City,All Ages,All Stays,Number of People,5465,51745
2018/19,Glasgow City,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.5,1.7
2018/19,Glasgow City,All Ages,Short Stay / Respite,Number of People,930,9090
2018/19,Glasgow City,All Ages,Long Stay,"Rate per 1,000 People",7.9,8.4
2018/19,Glasgow City,All Ages,Long Stay,Number of People,4950,45865
2018/19,Glasgow City,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Glasgow City,0-17 years,All Stays,Number of People,0,125
2018/19,Glasgow City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Glasgow City,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Glasgow City,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Glasgow City,0-17 years,Long Stay,Number of People,0,80
2018/19,Glasgow City,18-64 years,All Stays,"Rate per 1,000 People",2.2,1.7
2018/19,Glasgow City,18-64 years,All Stays,Number of People,965,5585
2018/19,Glasgow City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.7,0.5
2018/19,Glasgow City,18-64 years,Short Stay / Respite,Number of People,315,1665
2018/19,Glasgow City,18-64 years,Long Stay,"Rate per 1,000 People",1.8,1.3
2018/19,Glasgow City,18-64 years,Long Stay,Number of People,785,4230
2018/19,Glasgow City,65-74 years,All Stays,"Rate per 1,000 People",15.5,9.7
2018/19,Glasgow City,65-74 years,All Stays,Number of People,710,5520
2018/19,Glasgow City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.9,1.8
2018/19,Glasgow City,65-74 years,Short Stay / Respite,Number of People,85,1025
2018/19,Glasgow City,65-74 years,Long Stay,"Rate per 1,000 People",14.4,8.5
2018/19,Glasgow City,65-74 years,Long Stay,Number of People,660,4830
2018/19,Glasgow City,75-84 years,All Stays,"Rate per 1,000 People",58.4,46.5
2018/19,Glasgow City,75-84 years,All Stays,Number of People,1605,15415
2018/19,Glasgow City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",9.3,8.6
2018/19,Glasgow City,75-84 years,Short Stay / Respite,Number of People,255,2840
2018/19,Glasgow City,75-84 years,Long Stay,"Rate per 1,000 People",53.3,41.3
2018/19,Glasgow City,75-84 years,Long Stay,Number of People,1465,13690
2018/19,Glasgow City,85+ years,All Stays,"Rate per 1,000 People",198.8,203.3
2018/19,Glasgow City,85+ years,All Stays,Number of People,2180,25085
2018/19,Glasgow City,85+ years,Short Stay / Respite,"Rate per 1,000 People",25.5,28.4
2018/19,Glasgow City,85+ years,Short Stay / Respite,Number of People,280,3505
2018/19,Glasgow City,85+ years,Long Stay,"Rate per 1,000 People",186,186.7
2018/19,Glasgow City,85+ years,Long Stay,Number of People,2040,23030
2018/19,Glasgow City,Unknown,All Stays,"Rate per 1,000 People",0,NA
2018/19,Glasgow City,Unknown,All Stays,Number of People,0,20
2018/19,Glasgow City,Unknown,Long Stay,"Rate per 1,000 People",0,NA
2018/19,Glasgow City,Unknown,Long Stay,Number of People,0,15
2018/19,Highland,All Ages,All Stays,"Rate per 1,000 People",10.8,9.5
2018/19,Highland,All Ages,All Stays,Number of People,2555,51745
2018/19,Highland,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.6,1.7
2018/19,Highland,All Ages,Short Stay / Respite,Number of People,375,9090
2018/19,Highland,All Ages,Long Stay,"Rate per 1,000 People",9.7,8.4
2018/19,Highland,All Ages,Long Stay,Number of People,2295,45865
2018/19,Highland,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Highland,0-17 years,All Stays,Number of People,0,125
2018/19,Highland,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Highland,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Highland,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Highland,0-17 years,Long Stay,Number of People,0,80
2018/19,Highland,18-64 years,All Stays,"Rate per 1,000 People",1.9,1.7
2018/19,Highland,18-64 years,All Stays,Number of People,265,5585
2018/19,Highland,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.5,0.5
2018/19,Highland,18-64 years,Short Stay / Respite,Number of People,65,1665
2018/19,Highland,18-64 years,Long Stay,"Rate per 1,000 People",1.5,1.3
2018/19,Highland,18-64 years,Long Stay,Number of People,210,4230
2018/19,Highland,65-74 years,All Stays,"Rate per 1,000 People",9,9.7
2018/19,Highland,65-74 years,All Stays,Number of People,265,5520
2018/19,Highland,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.7,1.8
2018/19,Highland,65-74 years,Short Stay / Respite,Number of People,50,1025
